trip_id,PGD,BVU,BVS,PUM,EQS,VEL
S-ED-PGD-VEL-063,15:50:00,15:54:00,15:57:00,15:59:00,16:01:00,16:03:00
S-ED-PGD-VEL-064,16:00:00,16:04:00,16:07:00,16:09:00,16:11:00,16:13:00
S-ED-PGD-VEL-065,16:10:00,16:14:00,16:17:00,16:19:00,16:21:00,16:23:00
S-ED-PGD-VEL-066,16:20:00,16:24:00,16:27:00,16:29:00,16:31:00,16:33:00
S-ED-PGD-VEL-067,16:30:00,16:34:00,16:37:00,16:39:00,16:41:00,16:43:00
S-ED-PGD-VEL-068,16:40:00,16:44:00,16:47:00,16:49:00,16:51:00,16:53:00
S-ED-PGD-VEL-069,16:50:00,16:54:00,16:57:00,16:59:00,17:01:00,17:03:00
S-ED-PGD-VEL-070,17:00:00,17:04:00,17:07:00,17:09:00,17:11:00,17:13:00
S-ED-PGD-VEL-071,17:10:00,17:14:00,17:17:00,17:19:00,17:21:00,17:23:00
S-ED-PGD-VEL-072,17:20:00,17:24:00,17:27:00,17:29:00,17:31:00,17:33:00
S-ED-PGD-VEL-073,17:30:00,17:34:00,17:37:00,17:39:00,17:41:00,17:43:00
S-ED-PGD-VEL-074,17:40:00,17:44:00,17:47:00,17:49:00,17:51:00,17:53:00
S-ED-PGD-VEL-075,17:50:00,17:54:00,17:57:00,17:59:00,18:01:00,18:03:00
S-ED-PGD-VEL-076,18:00:00,18:04:00,18:07:00,18:09:00,18:11:00,18:13:00
S-ED-PGD-VEL-077,18:10:00,18:14:00,18:17:00,18:19:00,18:21:00,18:23:00
S-ED-PGD-VEL-078,18:20:00,18:24:00,18:27:00,18:29:00,18:31:00,18:33:00
S-ED-PGD-VEL-079,18:30:00,18:34:00,18:37:00,18:39:00,18:41:00,18:43:00
S-ED-PGD-VEL-080,18:40:00,18:44:00,18:47:00,18:49:00,18:51:00,18:53:00
S-ED-PGD-VEL-081,18:50:00,18:54:00,18:57:00,18:59:00,19:01:00,19:03:00
S-ED-PGD-VEL-082,19:00:00,19:04:00,19:07:00,19:09:00,19:11:00,19:13:00
S-ED-PGD-VEL-083,19:10:00,19:14:00,19:17:00,19:19:00,19:21:00,19:23:00
S-ED-PGD-VEL-084,19:20:00,19:24:00,19:27:00,19:29:00,19:31:00,19:33:00
S-ED-PGD-VEL-085,19:30:00,19:34:00,19:37:00,19:39:00,19:41:00,19:43:00
S-ED-PGD-VEL-086,19:40:00,19:44:00,19:47:00,19:49:00,19:51:00,19:53:00
S-ED-PGD-VEL-087,19:50:00,19:54:00,19:57:00,19:59:00,20:01:00,20:03:00
S-ED-PGD-VEL-088,20:00:00,20:04:00,20:07:00,20:09:00,20:11:00,20:13:00
S-ED-PGD-VEL-089,20:10:00,20:14:00,20:17:00,20:19:00,20:21:00,20:23:00
S-ED-PGD-VEL-090,20:20:00,20:24:00,20:27:00,20:29:00,20:31:00,20:33:00
S-ED-PGD-VEL-091,20:30:00,20:34:00,20:37:00,20:39:00,20:41:00,20:43:00
S-ED-PGD-VEL-092,20:40:00,20:44:00,20:47:00,20:49:00,20:51:00,20:53:00
S-ED-PGD-VEL-093,20:50:00,20:54:00,20:57:00,20:59:00,21:01:00,21:03:00
S-ED-PGD-VEL-094,21:00:00,21:04:00,21:07:00,21:09:00,21:11:00,21:13:00
S-ED-PGD-VEL-095,21:10:00,21:14:00,21:17:00,21:19:00,21:21:00,21:23:00
S-ED-PGD-VEL-096,21:20:00,21:24:00,21:27:00,21:29:00,21:31:00,21:33:00
S-ED-PGD-VEL-097,21:30:00,21:34:00,21:37:00,21:39:00,21:41:00,21:43:00
S-ED-PGD-VEL-098,21:40:00,21:44:00,21:47:00,21:49:00,21:51:00,21:53:00
S-ED-PGD-VEL-099,21:50:00,21:54:00,21:57:00,21:59:00,22:01:00,22:03:00
S-ED-PGD-VEL-100,22:00:00,22:04:00,22:07:00,22:09:00,22:11:00,22:13:00
S-ED-PGD-VEL-101,22:10:00,22:14:00,22:17:00,22:19:00,22:21:00,22:23:00
S-ED-PGD-VEL-102,22:20:00,22:24:00,22:27:00,22:29:00,22:31:00,22:33:00
