trip_id,VEL,EQS,PUM,BVS,BVU,PGD
S-ED-VEL-PGD-063,16:10:00,16:12:00,16:14:00,16:16:00,16:19:00,16:23:00
S-ED-VEL-PGD-064,16:20:00,16:22:00,16:24:00,16:26:00,16:29:00,16:33:00
S-ED-VEL-PGD-065,16:30:00,16:32:00,16:34:00,16:36:00,16:39:00,16:43:00
S-ED-VEL-PGD-066,16:40:00,16:42:00,16:44:00,16:46:00,16:49:00,16:53:00
S-ED-VEL-PGD-067,16:50:00,16:52:00,16:54:00,16:56:00,16:59:00,17:03:00
S-ED-VEL-PGD-068,17:00:00,17:02:00,17:04:00,17:06:00,17:09:00,17:13:00
S-ED-VEL-PGD-069,17:10:00,17:12:00,17:14:00,17:16:00,17:19:00,17:23:00
S-ED-VEL-PGD-070,17:20:00,17:22:00,17:24:00,17:26:00,17:29:00,17:33:00
S-ED-VEL-PGD-071,17:30:00,17:32:00,17:34:00,17:36:00,17:39:00,17:43:00
S-ED-VEL-PGD-072,17:40:00,17:42:00,17:44:00,17:46:00,17:49:00,17:53:00
S-ED-VEL-PGD-073,17:50:00,17:52:00,17:54:00,17:56:00,17:59:00,18:03:00
S-ED-VEL-PGD-074,18:00:00,18:02:00,18:04:00,18:06:00,18:09:00,18:13:00
S-ED-VEL-PGD-075,18:10:00,18:12:00,18:14:00,18:16:00,18:19:00,18:23:00
S-ED-VEL-PGD-076,18:20:00,18:22:00,18:24:00,18:26:00,18:29:00,18:33:00
S-ED-VEL-PGD-077,18:30:00,18:32:00,18:34:00,18:36:00,18:39:00,18:43:00
S-ED-VEL-PGD-078,18:40:00,18:42:00,18:44:00,18:46:00,18:49:00,18:53:00
S-ED-VEL-PGD-079,18:50:00,18:52:00,18:54:00,18:56:00,18:59:00,19:03:00
S-ED-VEL-PGD-080,19:00:00,19:02:00,19:04:00,19:06:00,19:09:00,19:13:00
S-ED-VEL-PGD-081,19:10:00,19:12:00,19:14:00,19:16:00,19:19:00,19:23:00
S-ED-VEL-PGD-082,19:20:00,19:22:00,19:24:00,19:26:00,19:29:00,19:33:00
S-ED-VEL-PGD-083,19:30:00,19:32:00,19:34:00,19:36:00,19:39:00,19:43:00
S-ED-VEL-PGD-084,19:40:00,19:42:00,19:44:00,19:46:00,19:49:00,19:53:00
S-ED-VEL-PGD-085,19:50:00,19:52:00,19:54:00,19:56:00,19:59:00,20:03:00
S-ED-VEL-PGD-086,20:00:00,20:02:00,20:04:00,20:06:00,20:09:00,20:13:00
S-ED-VEL-PGD-087,20:10:00,20:12:00,20:14:00,20:16:00,20:19:00,20:23:00
S-ED-VEL-PGD-088,20:20:00,20:22:00,20:24:00,20:26:00,20:29:00,20:33:00
S-ED-VEL-PGD-089,20:30:00,20:32:00,20:34:00,20:36:00,20:39:00,20:43:00
S-ED-VEL-PGD-090,20:40:00,20:42:00,20:44:00,20:46:00,20:49:00,20:53:00
S-ED-VEL-PGD-091,20:50:00,20:52:00,20:54:00,20:56:00,20:59:00,21:03:00
S-ED-VEL-PGD-092,21:00:00,21:02:00,21:04:00,21:06:00,21:09:00,21:13:00
S-ED-VEL-PGD-093,21:10:00,21:12:00,21:14:00,21:16:00,21:19:00,21:23:00
S-ED-VEL-PGD-094,21:20:00,21:22:00,21:24:00,21:26:00,21:29:00,21:33:00
S-ED-VEL-PGD-095,21:30:00,21:32:00,21:34:00,21:36:00,21:39:00,21:43:00
S-ED-VEL-PGD-096,21:40:00,21:42:00,21:44:00,21:46:00,21:49:00,21:53:00
S-ED-VEL-PGD-097,21:50:00,21:52:00,21:54:00,21:56:00,21:59:00,22:03:00
S-ED-VEL-PGD-098,22:00:00,22:02:00,22:04:00,22:06:00,22:09:00,22:13:00
S-ED-VEL-PGD-099,22:10:00,22:12:00,22:14:00,22:16:00,22:19:00,22:23:00
S-ED-VEL-PGD-100,22:20:00,22:22:00,22:24:00,22:26:00,22:29:00,22:33:00
S-ED-VEL-PGD-101,22:30:00,22:32:00,22:34:00,22:36:00,22:39:00,22:43:00
S-ED-VEL-PGD-102,22:40:00,22:42:00,22:44:00,22:46:00,22:49:00,22:53:00
